"","site_no","station_nm","dec_lat_va","dec_long_va","huc_cd","startDate","endDate","yearsAvail","id","p_MAM7","tau_MAM7","p_Baseflow","tau_Baseflow","p_MeanQ","tau_MeanQ","p_Q10","tau_Q10","p_Q50","tau_Q50","p_Q90","tau_Q90","p_Q95","tau_Q95"
"23","04106000","KALAMAZOO RIVER AT COMSTOCK, MI",42.28559716,-85.513893,"04050003",1958-10-01,2021-09-30,63,11,0.00134398943023422,"+",0.00044204901955528,"+",0.000213598649375752,"+",0.000579133094659918,"+",0.000592950685718448,"+",0.000232520827266177,"+",0.00039583936887227,"+"
"30","04109000","GRAND RIVER AT JACKSON, MI",42.28364676,-84.4088483,"04050004",1958-10-01,2021-09-30,63,12,0.0127575910586115,"+",0.000741048420463215,"+",0.0179711841811707,"+",0.0192280184961073,"+",0.0438186307929131,"+",0.00909207311171562,"+",0.0145719614874288,"+"
"311","04111000","GRAND RIVER NEAR EATON RAPIDS, MI",42.5347591,-84.62303529,"04050004",1958-10-01,2021-09-30,63,13,0.00011122604916059,"+",7.19273392703929e-06,"+",0.000206022041695982,"+",0.0022969503013166,"+",0.000297855189974564,"+",0.000332470723303597,"+",0.00920971219928659,"+"
"34","04112000","SLOAN CREEK NEAR WILLIAMSTON, MI",42.67586828,-84.3638605,"04050004",1958-10-01,2021-09-30,63,14,0.301692891360811,"+",0.00402181580733888,"+",0.0199150915131703,"+",0.168169625501725,"+",0.00500300463124286,"+",0.0425095033076269,"+",0.0861641617125097,"+"
"35","04112500","RED CEDAR RIVER AT EAST LANSING, MI",42.7272571,-84.4780317,"04050004",1958-10-01,2021-09-30,63,15,7.2906745172775e-05,"+",0.000363493200150437,"+",0.00234799871838428,"+",0.000507220857120302,"+",0.000250546806548925,"+",0.00609614131509514,"+",0.0353122863121448,"+"
"36","04113000","GRAND RIVER AT LANSING, MI",42.75059039,-84.555257,"04050004",1958-10-01,2021-09-30,63,16,0.000255518269376909,"+",2.35185222078241e-05,"+",0.000313925288510582,"+",0.00104426314708934,"+",0.000172237728712378,"+",0.00170102311396034,"+",0.0347642174434555,"+"
"37","04114498","LOOKING GLASS RIVER NEAR EAGLE, MI",42.82809018,-84.7594339,"04050004",1958-10-01,2021-09-30,63,17,6.37938144877846e-05,"+",3.35416740972415e-05,"+",0.000599623138761865,"+",2.32218693562756e-05,"+",1.78601373614044e-05,"+",0.0228692108059548,"+",0.263114430088079,"+"
"38","04114000","GRAND RIVER AT PORTLAND, MI",42.85642289,-84.9122182,"04050004",1958-10-01,2021-09-30,63,18,0.0011023107767102,"+",4.95367838624544e-05,"+",0.000224599822984346,"+",0.00108380980061407,"+",0.000588677461398025,"+",0.000606021540396127,"+",0.0170518157279498,"+"
"41","04115000","MAPLE RIVER AT MAPLE RAPIDS, MI",43.10975485,-84.6930521,"04050005",1958-10-01,2021-09-30,63,19,0.00491568915543615,"+",0.00173878672182942,"+",0.0126394463565765,"+",0.00471675624052473,"+",0.00193610709763516,"+",0.0772687758690409,"+",0.425301659851503,"+"
"43","04116000","GRAND RIVER AT IONIA, MI",42.971977,-85.0691725,"04050006",1958-10-01,2021-09-30,63,20,6.75945569765749e-05,"+",4.85000069119619e-05,"+",0.00127809391192803,"+",0.00109245707145971,"+",0.000440226234567359,"+",0.0185998366485941,"+",0.213611480479436,"+"
"44","04118500","ROGUE RIVER NEAR ROCKFORD, MI",43.0822491,-85.5908648,"04050006",1958-10-01,2021-09-30,63,21,0.0394516908494645,"+",0.0024542713326323,"+",0.002985374252852,"+",0.00788884739401659,"+",0.000899076135807205,"+",0.0409387226995864,"+",0.117188485860078,"+"
"45","04119000","GRAND RIVER AT GRAND RAPIDS, MI",42.963082,-85.6772533,"04050006",1958-10-01,2021-09-30,63,22,0.00064087821909996,"+",0.000172237728712378,"+",0.000284476000163562,"+",0.000451362662798949,"+",0.00010244045107308,"+",0.00418584043796168,"+",0.0607722303950994,"+"
"46","04117500","THORNAPPLE RIVER NEAR HASTINGS, MI",42.6158688,-85.2363933,"04050007",1958-10-01,2021-09-30,63,23,0.0012579812424693,"+",0.00314721656347367,"+",0.00189604039458122,"+",0.00189415062779129,"+",0.00301722220036086,"+",0.00997382852009848,"+",0.0458889547768237,"+"
