"","interval","meanP","meanPET","meanSF","siteID","group","PET.P","AET.P"
"234",1990,1.3382303497963,1.88336671281116,0.0179209223998728,"07143375","Impacted",1.40735614993177,0.986608492026354
"235",1995,1.42230628728028,1.88624584144846,0.0231045585032064,"07143375","Impacted",1.3261882186117,0.983755567482313
"236",2000,1.13230889542114,1.97971108664345,0.0131705667102524,"07143375","Impacted",1.7483842921742,0.988368397737126
"237",2005,1.27788768191729,1.93482496735333,0.0179477862941483,"07143375","Impacted",1.51408061501179,0.985955114406283
"238",2010,1.05154273142776,2.01070480994623,0.00943473775562422,"07143375","Impacted",1.91214750466312,0.991027718157669
"239",2015,1.3490691026919,1.97597416651334,0.0242374918170197,"07143375","Impacted",1.46469455313337,0.982033913779022
"240",2020,0.961579300549769,2.00464467755802,0.0108347536414778,"07143375","Impacted",2.08474192030952,0.988732334779583
"241",1990,2.04064155207916,2.25140797123019,0.28955224880666,"07143665","Impacted",1.10328439060564,0.858107246462936
"242",1995,2.37819849010141,2.2485974691932,0.353861850698394,"07143665","Impacted",0.945504539907984,0.851205922394096
"243",2000,2.10988541907711,2.33266209813714,0.24090800930346,"07143665","Impacted",1.10558709825933,0.885819387571844
"244",2005,2.33326838331964,2.28640965998073,0.220426476562351,"07143665","Impacted",0.979917130976484,0.905528880373058
"245",2010,1.93745112782195,2.37217268792916,0.131317752605937,"07143665","Impacted",1.22437807791101,0.932221385757708
"246",2015,2.26491682062676,2.35296324052962,0.299522936219774,"07143665","Impacted",1.03887401916972,0.867755436538774
"247",2020,1.97384053558717,2.28582078815805,0.105630185034404,"07143665","Impacted",1.15805747574136,0.946484944892987
"248",1995,2.38105822921225,2.24961956167932,0.372096410011432,"07143672","Impacted",0.944798213701635,0.843726455133969
"249",2000,2.11308528399645,2.33393466556056,0.245139599559955,"07143672","Impacted",1.10451512924571,0.88398972752471
"250",2005,2.33682979083298,2.28719762226895,0.257479613594313,"07143672","Impacted",0.978760897024367,0.889816701839233
"251",2010,1.93818966552113,2.37354544020436,0.15903729144115,"07143672","Impacted",1.22461979982035,0.917945444519544
"252",2015,2.26921440705501,2.35423122397082,0.34098767900212,"07143672","Impacted",1.03746530810464,0.849733159660019
"253",2020,1.97472593036436,2.28783197363954,0.118109481460514,"07143672","Impacted",1.15855670828073,0.940189431027159
"254",1990,2.09923506371193,2.25574967869698,0.0447736199856801,"07144100","Impacted",1.07455792716624,0.978671459542739
"255",1995,2.4261165157084,2.2545960380239,0.3654080379761,"07144100","Impacted",0.929302456591033,0.849385618699601
"256",2000,2.15210118756831,2.34085219085871,0.262146625736205,"07144100","Impacted",1.08770545008791,0.878190380986496
"257",2005,2.38115562175477,2.28924573773149,0.267691848196693,"07144100","Impacted",0.961401143552495,0.887579020140053
"258",2010,1.96918423234933,2.37832608531831,0.179435801547255,"07144100","Impacted",1.20777225728689,0.908878103633209
"259",2015,2.33940976799619,2.36003615592316,0.399133913342154,"07144100","Impacted",1.00881691963894,0.829386916818754
"260",2020,1.98734058703223,2.30435900200962,0.12623135500539,"07144100","Impacted",1.15951891540181,0.936482273934789
"261",1990,2.10391231264798,2.25703420838672,0.314212883474795,"07144200","Impacted",1.0727795996146,0.850653051657212
"262",1995,2.43398297495428,2.2560622602808,0.350518980041658,"07144200","Impacted",0.926901413648211,0.855989551427227
"263",2000,2.15953274867322,2.34214682686642,0.259862155804784,"07144200","Impacted",1.08456184714281,0.879667416035048
"264",2005,2.38922683105595,2.2899922855461,0.263166118469184,"07144200","Impacted",0.958465833289678,0.88985302063058
"265",2010,1.97607381168917,2.38037224518952,0.179245992638088,"07144200","Impacted",1.20459682786583,0.909291853584727
"266",2015,2.35432323862076,2.36148477560206,0.219175985236606,"07144200","Impacted",1.00304186649642,0.906904888147387
"267",2020,1.99258463109592,2.30731881701,0.128478233423358,"07144200","Impacted",1.15795273184506,0.935521818537416
"268",1990,1.36567641889805,1.89684759187831,0.0258958679328441,"07144300","Impacted",1.38894365138768,0.981038064672934
"269",1995,1.45883359530834,1.89957754437581,0.0320295840743888,"07144300","Impacted",1.30212078367603,0.978044388217137
