"","Year","Q90","MeanDischarge","MeanBaseflow","MAM7","Q10","Q50","Q95"
"34",1949,506,382.46301369863,176.583031260976,96.1428571428572,128.2,216,700.4
"35",1950,418,263.747945205479,160.468945639373,70.2857142857143,147,217,475
"36",1951,597.6,461.030136986301,165.564377553473,74.2857142857143,118.2,223,940
"37",1952,223,125.031147540984,73.4759503350023,7.24285714285714,14,114,277.75
"38",1953,255,119.878356164384,50.7666150107481,4.77142857142857,7.74,78,394
"39",1954,257,120.85698630137,55.4119909759861,2.18571428571429,5.96,54,407.2
"40",1955,402.4,203.988219178082,121.908817537315,7.07142857142857,29,92,484
"41",1956,310,111.385792349727,43.5928070364677,3.92857142857143,6.4,51,340.5
"42",1957,535,259.654794520548,128.334246575342,25.5714285714286,48,136,785.400000000001
"43",1958,366.8,240.98904109589,119.333557196228,108,123,168,487
"44",1959,400.6,255.024657534247,169.901282184986,96.1428571428571,137,195,492
"45",1960,371,148.763661202186,99.2791021709956,3.07142857142857,3.8,110,413
"46",1961,227,159.864109589041,71.1161382647122,6.9,27.4,122,331.6
"47",1962,322,154.437260273973,85.6594583043022,6.48571428571429,11,115,409
"48",1963,172.4,74.1156164383562,29.5500946784327,3.02857142857143,5.7,25,277
"49",1964,101,103.684699453552,19.8025110867244,1.77142857142857,3.1,15,249
"50",1965,1526,1059.94383561644,189.620252897787,2.71428571428571,10.4,200,2392
"51",1966,625.4,354.375342465753,250.837675490415,82.8571428571428,128,312,719.4
"52",1967,490,281.816438356164,214.353902429382,36.1428571428571,112.8,256,535.2
"53",1968,264,124.939071038251,75.3516236183235,7.78571428571428,24,100,398
"54",1969,337.6,191.334246575342,125.781585162718,43.5714285714286,92.4,148,389.8
"55",1970,468.8,203.709589041096,138.717263223438,44,74.8,146,547
"56",1971,247.6,148.219178082192,88.5257801016907,28.1428571428571,60,132,389
"57",1972,287.5,148.224043715847,72.1701843198823,26.4285714285714,53.5,106,390
"58",1973,378,168.26301369863,100.327531083832,22,63.4,125,471.6
"59",1974,150.6,62.1779452054795,50.2440181997754,0.0642857142857143,0.24,16,196.8
"60",1975,100.2,49.7655342465753,14.7485496382042,0.814285714285714,1.54,17,193.6
"61",1976,43.5,24.274262295082,10.0652842382999,0.164285714285714,0.635,9.1,80
"62",1977,79.6,29.1764931506849,6.87715644766825,0.591428571428571,0.76,5.6,150
"63",1978,111.6,45.4557808219178,10.7612390413504,0.628571428571429,0.884,1.5,258.4
"64",1979,24.6,14.0480273972603,2.12851355199115,0.568571428571429,0.694,1.5,79.8000000000001
"65",1980,607.5,150.664153005464,122.340905350823,0.902857142857143,6.15,46,633.5
"66",1981,108.2,62.5369863013699,27.6958497894799,6.78571428571428,17,34,328.4
"67",1982,232.2,102.249315068493,53.1945277735963,14,31,78,337.2
"68",1983,498.8,208.501369863014,161.722476997288,53.2857142857143,86,120,524
"69",1984,486.5,260.901639344262,216.856571763846,60.5714285714286,110.5,185,555.75
"70",1985,547.2,319.750684931507,216.543046610923,97.8571428571428,142,221,804.2
"71",1986,570.8,328.717808219178,237.370146227441,140.571428571429,162.4,249,700
"72",1987,2210,685.723287671233,514.724465644705,167.571428571429,193,266,2488
"73",1988,640.5,310.232240437158,240.182821580363,152.142857142857,176,213,718.5
"74",1989,305.400000000001,170.701369863014,129.975841646938,84.8571428571428,99,140,394.4
"75",1990,150,104.712328767123,77.2445253544821,20.1428571428571,40,100,229.4
"76",1991,123,90.2575342465753,76.1509552060831,19,25,82,267
"77",1992,156,101.748633879781,65.2175183246221,24.4285714285714,34,81,306
"78",1993,263.600000000001,155.906849315068,131.088218172536,65.4285714285714,85,139,404
"79",1994,323,160.230136986301,122.383360412222,51.4285714285714,78,136,398
"80",1995,732.400000000003,385.356164383562,292.274236806667,115.428571428571,134.4,202,2038
"81",1996,668.5,378.327868852459,279.417998091769,157.285714285714,179.5,285,749.5
"82",1997,637.6,395.882191780822,305.045423140177,187.714285714286,201,337,882.8
"83",1998,1040,533.191780821918,377.691637312459,176.428571428571,227.4,402,1140
"84",1999,2526,721.054794520548,576.937726295998,192.142857142857,211.4,323,2670
"85",2000,689,346.513661202186,268.868390580276,121.428571428571,181.5,276.5,764.75
"86",2001,480,218.791780821918,188.95058382257,94.1428571428571,103,179,511.8
"87",2002,131,74.4430136986301,50.8359067188519,2.64285714285714,17.4,51,165.2
"88",2003,57,28.7345205479452,21.2909978728835,1.21428571428571,1.3,27,68.6
"89",2004,147.5,81.4879781420765,42.5099306536103,12.5714285714286,24,60,269
"90",2005,291.2,112.689890410959,93.0328401719285,5.26571428571429,15.96,64,472
